,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
30,25,45996,RENT,2.0,DEBTCONSOLIDATION,G,5000,20.25060606060606,0.11,Y,4,1
31,24,30000,RENT,4.0,MEDICAL,D,1400,15.62,0.05,Y,4,1
32,32,105000,RENT,15.0,EDUCATION,B,3000,11.009722222222223,0.03,N,7,0
33,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0.19,N,2,0
34,27,54000,MORTGAGE,4.0,MEDICAL,A,9000,6.62,0.17,N,10,0
35,22,42000,RENT,7.0,DEBTCONSOLIDATION,E,7500,17.04,0.18,N,2,1
36,28,75000,OWN,11.0,EDUCATION,B,12000,12.69,0.16,N,5,0
37,30,60000,MORTGAGE,5.027492353453249,DEBTCONSOLIDATION,C,6000,12.73,0.1,Y,6,0
38,28,35000,RENT,4.0,EDUCATION,B,13250,10.65,0.38,N,7,1
39,22,32400,RENT,4.0,VENTURE,D,4000,15.333632075471698,0.12,Y,2,1
40,29,50000,OWN,3.0,HOMEIMPROVEMENT,B,4200,9.91,0.08,N,5,0
41,23,24000,RENT,4.0,EDUCATION,C,12250,13.16,0.51,N,3,1
42,33,48000,RENT,4.0,DEBTCONSOLIDATION,B,3600,11.99,0.07,N,10,0
43,31,60000,RENT,1.0,MEDICAL,A,6200,8.59,0.1,N,7,0
44,27,54000,RENT,6.0,DEBTCONSOLIDATION,B,5000,11.99,0.09,N,10,1
45,32,68000,RENT,9.0,VENTURE,D,3800,16.89,0.06,Y,8,0
46,28,42200,MORTGAGE,5.0,VENTURE,B,13200,11.48,0.31,N,8,0
47,24,70000,OWN,4.35297654416944,EDUCATION,A,6000,5.42,0.09,N,2,0
48,23,36000,RENT,5.0,MEDICAL,B,10000,9.99,0.28,N,4,0
49,34,32000,RENT,0.0,MEDICAL,A,4500,6.62,0.14,N,6,0
50,22,24000,MORTGAGE,5.0,EDUCATION,A,5000,7.9,0.21,N,2,0
51,34,25000,RENT,0.0,MEDICAL,A,10000,7.29,0.4,N,9,1
52,35,88020,RENT,6.0,PERSONAL,D,6000,15.37,0.07,Y,8,0
53,28,132650,MORTGAGE,12.0,MEDICAL,B,20000,10.65,0.15,N,5,0
54,26,66000,RENT,10.0,PERSONAL,A,14000,6.62,0.21,N,3,0
55,26,44000,RENT,0.0,MEDICAL,E,8400,14.5,0.19,Y,3,1
56,22,59000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6400,7.343586937017764,0.11,N,4,0
57,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0.06,N,2,0
58,23,50000,RENT,0.0,EDUCATION,C,8000,14.27,0.16,N,4,0
59,22,40000,MORTGAGE,6.0,PERSONAL,B,14400,12.69,0.36,N,3,0
60,32,40000,RENT,1.0,MEDICAL,C,4000,13.49,0.1,Y,8,0
61,39,75000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,16000,7.88,0.21,N,14,0
62,23,23760,RENT,2.0,DEBTCONSOLIDATION,B,2800,11.009722222222223,0.12,N,2,0
63,33,121000,MORTGAGE,0.0,EDUCATION,C,17600,13.57,0.15,N,5,0
64,31,130000,MORTGAGE,10.0,MEDICAL,A,9800,8.49,0.08,N,5,0
65,25,65900,RENT,2.0,DEBTCONSOLIDATION,A,10000,8.49,0.15,N,2,0
66,30,114400,MORTGAGE,14.0,VENTURE,A,8000,8.94,0.07,N,7,0
67,26,108000,MORTGAGE,5.0,PERSONAL,A,13000,8.94,0.12,N,2,0
68,23,33600,MORTGAGE,8.0,PERSONAL,A,8000,6.99,0.24,N,2,0
69,30,44000,MORTGAGE,1.0,EDUCATION,A,6800,6.91,0.15,N,7,0
70,24,45000,MORTGAGE,8.0,VENTURE,A,6000,7.51,0.13,N,4,0
71,23,30000,RENT,1.0,DEBTCONSOLIDATION,E,10000,16.0,0.33,N,4,1
72,30,32400,RENT,0.0,PERSONAL,C,9000,11.22,0.28,N,10,0
73,25,49000,OWN,4.0,VENTURE,A,2500,6.76,0.05,N,3,0
74,25,38060,RENT,9.0,DEBTCONSOLIDATION,B,2500,12.53,0.07,N,2,0
75,27,43218,RENT,11.0,VENTURE,C,5300,14.65,0.12,Y,10,0
76,28,24000,RENT,0.0,DEBTCONSOLIDATION,B,5000,11.86,0.21,N,5,0
77,24,31200,RENT,7.0,PERSONAL,B,9000,10.38,0.29,N,4,0
78,26,80730,MORTGAGE,7.0,HOMEIMPROVEMENT,A,9600,7.29,0.12,N,2,0
79,33,29000,RENT,0.0,VENTURE,C,10000,13.06,0.34,Y,9,1
80,21,65000,RENT,6.0,PERSONAL,D,12000,14.3,0.18,N,3,0
81,43,65000,MORTGAGE,2.0,EDUCATION,B,24000,10.99,0.37,N,13,0
82,34,120000,MORTGAGE,4.0,MEDICAL,A,16800,6.91,0.14,N,6,0
83,28,36000,RENT,2.0,HOMEIMPROVEMENT,B,7500,10.39,0.21,N,9,1
84,30,105000,MORTGAGE,14.0,MEDICAL,B,7725,11.009722222222223,0.07,N,9,0
85,24,46000,MORTGAGE,5.0,EDUCATION,B,10000,9.99,0.22,N,2,0
86,23,34992,MORTGAGE,4.0,EDUCATION,F,22550,15.96,0.64,Y,3,0
87,26,59020,MORTGAGE,10.0,PERSONAL,B,7000,10.0,0.12,N,2,0
88,31,73000,MORTGAGE,3.0,VENTURE,C,12000,13.458465745538284,0.16,Y,8,0
89,28,39000,RENT,6.0,MEDICAL,D,3600,16.29,0.09,N,8,1
90,26,49200,MORTGAGE,8.0,EDUCATION,A,4800,6.17,0.1,N,3,0
91,31,50000,RENT,5.0,MEDICAL,A,8800,6.17,0.18,N,9,0
92,61,10636,RENT,3.0,PERSONAL,B,4000,12.21,0.38,N,25,1
93,35,122000,MORTGAGE,3.0,VENTURE,D,25000,15.2,0.2,N,10,1
94,24,52800,RENT,1.0,MEDICAL,C,8000,12.87,0.15,Y,3,0
95,27,75000,RENT,2.0,EDUCATION,A,14000,9.63,0.19,N,5,0
96,28,36000,MORTGAGE,5.0,MEDICAL,E,15450,16.97896551724138,0.43,N,8,1
97,31,98000,OWN,10.0,HOMEIMPROVEMENT,A,5100,6.03,0.05,N,6,0
98,24,65000,RENT,3.0,EDUCATION,A,3500,7.74,0.05,N,3,0
99,30,45000,RENT,0.0,PERSONAL,B,6000,12.69,0.13,N,8,0
100,48,72000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,7000,14.96,0.1,Y,17,0
101,23,60000,MORTGAGE,7.0,EDUCATION,A,10500,7.343586937017764,0.17,N,4,0
102,49,23004,RENT,6.0,PERSONAL,D,3250,15.21,0.14,N,12,0
103,24,55032,RENT,8.0,EDUCATION,A,12000,9.63,0.22,N,2,0
104,45,45000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,14000,6.62,0.31,N,12,0
105,28,39600,RENT,6.0,VENTURE,B,4500,10.25,0.11,N,10,0
106,22,36000,MORTGAGE,2.0,VENTURE,B,7750,9.99,0.22,N,4,0
107,22,41900,RENT,3.0,EDUCATION,A,10500,8.49,0.25,N,2,0
108,37,65000,RENT,7.0,EDUCATION,A,9000,6.91,0.14,N,14,0
109,28,55000,RENT,2.0,DEBTCONSOLIDATION,C,3200,12.98,0.06,N,7,0
110,23,60000,RENT,4.0,EDUCATION,D,14000,14.84,0.23,Y,3,0
111,26,47000,RENT,7.0,PERSONAL,A,15000,7.9,0.32,N,3,1
112,27,90000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,12.42,0.22,N,10,0
113,29,62000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,5.99,0.16,N,8,0
114,31,85000,RENT,5.0,VENTURE,C,16000,11.34,0.19,N,6,0
115,23,55000,MORTGAGE,7.0,EDUCATION,A,15000,7.343586937017764,0.27,N,4,0
116,31,64000,RENT,9.0,PERSONAL,C,8000,14.22,0.13,Y,5,0
117,29,66901,MORTGAGE,13.0,MEDICAL,C,9475,13.458465745538284,0.14,N,10,0
118,25,19200,RENT,5.0,EDUCATION,D,5875,14.11,0.31,N,3,1
119,29,45000,OWN,8.0,PERSONAL,B,8000,12.21,0.18,N,5,0
120,23,83000,MORTGAGE,0.0,VENTURE,D,20000,14.54,0.24,Y,4,0
121,29,15000,RENT,4.9150730519059485,DEBTCONSOLIDATION,D,2600,16.29,0.17,N,10,1
122,25,75000,MORTGAGE,5.0,EDUCATION,A,5800,7.343586937017764,0.08,N,2,0
123,42,224000,MORTGAGE,16.0,EDUCATION,B,25000,11.86,0.11,N,15,0
124,26,50000,RENT,8.0,PERSONAL,B,3000,9.88,0.06,N,4,0
125,36,33000,RENT,2.0,PERSONAL,B,4000,11.009722222222223,0.12,N,17,1
126,23,35000,RENT,5.0,PERSONAL,A,5000,6.99,0.14,N,2,0
127,22,44400,RENT,4.0,DEBTCONSOLIDATION,A,7500,8.49,0.17,N,4,1
128,47,65000,RENT,1.0,DEBTCONSOLIDATION,C,3100,13.49,0.05,Y,12,0
129,21,60000,RENT,3.0,EDUCATION,B,10000,12.18,0.17,N,2,0
130,35,115000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,7200,13.85,0.06,Y,10,0
131,30,71400,RENT,0.0,DEBTCONSOLIDATION,C,9600,12.61,0.13,Y,9,0
132,23,75800,RENT,0.0,EDUCATION,A,7000,6.54,0.09,N,4,0
133,26,24000,MORTGAGE,5.0,PERSONAL,C,2100,13.11,0.09,N,3,0
134,25,127000,MORTGAGE,9.0,PERSONAL,B,6000,9.91,0.05,N,2,0
135,39,38400,RENT,5.0,EDUCATION,C,3500,12.99,0.09,Y,15,0
136,25,50000,RENT,2.0,PERSONAL,A,7200,8.49,0.14,N,2,0
137,31,27000,RENT,7.0,HOMEIMPROVEMENT,A,6000,8.94,0.22,N,6,1
138,23,42000,RENT,0.0,VENTURE,C,5000,13.458465745538284,0.12,N,3,1
139,26,50760,RENT,3.0,DEBTCONSOLIDATION,A,9000,8.94,0.18,N,2,0
140,30,46000,OWN,14.0,PERSONAL,C,6000,12.68,0.13,N,6,0
141,25,100000,MORTGAGE,6.0,VENTURE,B,12000,9.91,0.12,N,4,0
142,27,40000,OWN,3.0,PERSONAL,A,5000,8.59,0.13,N,7,0
143,29,44400,RENT,2.0,HOMEIMPROVEMENT,D,12000,15.99,0.27,N,5,1
144,23,75000,RENT,7.0,EDUCATION,A,5000,7.49,0.07,N,3,0
145,25,60000,MORTGAGE,2.0,PERSONAL,B,6900,9.99,0.12,N,2,0
146,22,40000,RENT,4.0,EDUCATION,C,10000,14.27,0.25,Y,3,0
147,26,90000,RENT,0.0,HOMEIMPROVEMENT,A,14000,6.03,0.16,N,2,0
148,25,62500,RENT,2.0,VENTURE,D,12000,16.77,0.19,N,2,1
149,28,73000,MORTGAGE,6.0,VENTURE,B,15000,11.83,0.21,N,9,0
150,24,31000,RENT,8.0,VENTURE,C,13500,13.43,0.44,N,4,1
151,26,39900,RENT,1.0,DEBTCONSOLIDATION,B,14000,10.37,0.35,N,3,1
152,26,25000,RENT,1.0,DEBTCONSOLIDATION,E,1500,14.7,0.06,N,2,1
153,21,33000,RENT,5.0,DEBTCONSOLIDATION,D,10000,15.333632075471698,0.3,N,4,1
154,26,250000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,9000,9.99,0.04,N,2,0
155,48,92000,RENT,6.0,DEBTCONSOLIDATION,B,16500,12.69,0.18,N,15,0
156,24,40000,RENT,1.0,VENTURE,B,9000,11.99,0.23,N,4,0
157,23,69360,RENT,5.0,DEBTCONSOLIDATION,A,4000,7.74,0.06,N,3,0
158,24,47000,RENT,0.0,MEDICAL,B,1450,10.74,0.03,N,4,0
159,24,69996,RENT,7.0,DEBTCONSOLIDATION,B,5000,10.38,0.07,N,4,0
160,22,48000,RENT,0.0,EDUCATION,A,1000,7.29,0.02,N,4,0
161,29,48000,RENT,6.0,EDUCATION,B,6025,10.65,0.13,N,6,0
162,23,25000,RENT,2.0,MEDICAL,B,1800,12.69,0.07,N,3,1
163,22,128165,RENT,6.0,DEBTCONSOLIDATION,A,14000,8.94,0.11,N,3,0
164,25,75000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,12000,13.458465745538284,0.16,Y,3,0
165,22,45600,MORTGAGE,5.0,VENTURE,B,9500,10.38,0.21,N,2,0
166,22,54000,RENT,4.0,EDUCATION,E,5000,16.35,0.09,Y,3,1
167,22,30000,RENT,0.0,MEDICAL,B,12600,11.99,0.42,N,4,1
168,28,68553,MORTGAGE,1.0,HOMEIMPROVEMENT,C,15000,13.85,0.22,Y,10,0
169,23,85000,MORTGAGE,6.0,PERSONAL,B,25000,10.75,0.29,N,4,0
170,27,43000,OWN,11.0,EDUCATION,A,15000,7.51,0.35,N,5,0
171,32,30996,MORTGAGE,1.0,EDUCATION,C,2400,13.8,0.08,Y,7,0
172,22,19800,OWN,1.0,EDUCATION,A,2100,8.38,0.11,N,4,0
173,26,30000,MORTGAGE,4.577815147264044,DEBTCONSOLIDATION,A,8000,6.62,0.27,N,4,1
174,29,180000,MORTGAGE,13.0,DEBTCONSOLIDATION,C,12000,12.99,0.07,Y,5,0
175,25,68000,RENT,0.0,VENTURE,A,4000,6.76,0.06,N,2,0
176,23,139992,RENT,3.0,VENTURE,E,16000,14.18,0.11,Y,3,0
177,25,95000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,15000,11.49,0.16,N,3,0
178,22,32000,RENT,7.0,EDUCATION,C,14000,12.23,0.44,N,3,1
179,24,52000,RENT,8.0,EDUCATION,D,20000,15.65,0.38,Y,2,1
180,28,63550,MORTGAGE,12.0,HOMEIMPROVEMENT,A,12500,7.343586937017764,0.2,N,10,0
181,25,19800,RENT,0.0,DEBTCONSOLIDATION,C,5000,13.49,0.25,Y,4,1
182,36,126251,RENT,16.0,HOMEIMPROVEMENT,A,14000,7.66,0.11,N,17,0
183,29,33600,RENT,3.0,EDUCATION,A,4800,5.79,0.14,N,9,0
184,24,45000,MORTGAGE,8.0,MEDICAL,A,5000,5.79,0.11,N,3,0
185,23,22884,RENT,8.0,EDUCATION,B,6000,11.49,0.26,N,3,0
186,24,40000,MORTGAGE,5.0,VENTURE,A,8000,7.343586937017764,0.2,N,4,0
187,23,65000,RENT,3.0,VENTURE,A,15000,8.94,0.23,N,3,0
188,29,75000,MORTGAGE,9.0,PERSONAL,B,8000,11.99,0.11,N,5,0
189,26,109000,MORTGAGE,8.0,MEDICAL,B,20000,10.75,0.18,N,4,0
190,25,80000,MORTGAGE,0.0,MEDICAL,A,10000,5.79,0.13,N,4,0
191,46,180000,MORTGAGE,31.0,VENTURE,B,18000,9.91,0.1,N,11,0
192,21,40000,RENT,4.0,EDUCATION,A,5000,5.79,0.13,N,2,0
193,27,50000,OWN,9.0,EDUCATION,A,3000,7.75,0.06,N,6,0
194,30,40000,RENT,2.0,MEDICAL,C,14000,12.73,0.35,N,8,1
195,23,130000,OWN,7.0,VENTURE,D,22600,14.96,0.17,Y,2,0
196,22,61300,MORTGAGE,4.0,VENTURE,A,13000,9.63,0.21,N,3,0
197,25,35392,RENT,9.0,EDUCATION,A,6000,7.4,0.17,N,3,0
198,33,53000,RENT,2.0,EDUCATION,A,10000,8.94,0.19,N,9,0
199,23,38000,RENT,4.0,PERSONAL,B,10000,10.99,0.26,N,2,0
200,23,25200,RENT,0.0,HOMEIMPROVEMENT,C,6000,13.23,0.24,Y,4,1
201,26,27600,OWN,2.0,VENTURE,B,2500,11.71,0.09,N,3,0
202,24,44400,RENT,0.0,PERSONAL,B,1325,10.0,0.03,N,4,1
203,30,59000,MORTGAGE,0.0,MEDICAL,A,10000,7.51,0.17,N,8,0
204,22,30288,MORTGAGE,2.0,EDUCATION,C,6000,12.73,0.2,N,2,0
205,32,36000,RENT,4.0,MEDICAL,D,6000,16.07,0.17,Y,10,1
206,44,95000,MORTGAGE,4.0,EDUCATION,B,10000,10.95,0.11,N,11,0
207,62,51600,RENT,2.0,PERSONAL,A,8525,6.54,0.17,N,24,0
208,26,135000,MORTGAGE,6.0,EDUCATION,D,15000,15.33,0.11,Y,2,0
209,22,75500,MORTGAGE,6.0,PERSONAL,A,12000,7.343586937017764,0.16,N,2,0
210,22,48000,RENT,6.0,DEBTCONSOLIDATION,C,8000,12.99,0.17,Y,3,0
211,27,40000,MORTGAGE,7.0,VENTURE,A,13000,7.88,0.33,N,7,0
212,36,35256,MORTGAGE,5.0,HOMEIMPROVEMENT,A,5000,5.99,0.14,N,11,0
213,53,88000,RENT,0.0,EDUCATION,A,5000,8.49,0.06,N,25,0
214,24,60000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6000,5.42,0.1,N,3,0
215,35,17000,RENT,0.0,MEDICAL,A,4750,9.32,0.28,N,6,1
216,26,40800,RENT,2.0,PERSONAL,A,12000,7.343586937017764,0.29,N,2,0
217,31,90000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,18000,11.11,0.2,N,10,0
218,31,50000,RENT,4.0,EDUCATION,E,6800,19.29,0.14,N,8,0
219,22,72000,MORTGAGE,5.0,VENTURE,D,12000,14.84,0.17,Y,4,0
220,23,45000,RENT,7.0,MEDICAL,E,16000,16.45,0.36,Y,4,1
221,26,119000,MORTGAGE,6.0,VENTURE,D,15000,14.42,0.13,N,2,0
222,26,103000,MORTGAGE,10.0,EDUCATION,D,5000,14.96,0.05,N,4,0
223,23,67000,MORTGAGE,1.0,EDUCATION,E,16000,16.32,0.24,Y,2,0
224,25,50000,RENT,2.0,HOMEIMPROVEMENT,B,19000,10.99,0.38,N,4,1
225,31,41004,RENT,5.0,PERSONAL,D,5000,15.28,0.12,N,5,0
226,25,48000,RENT,2.0,PERSONAL,B,6000,10.37,0.13,N,4,0
227,24,125000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,25000,10.0,0.2,N,2,0
228,26,134000,MORTGAGE,2.0,EDUCATION,C,30000,13.49,0.22,Y,3,0
229,27,44196,RENT,2.0,DEBTCONSOLIDATION,C,5500,13.8,0.12,N,10,0
230,26,130000,MORTGAGE,10.0,MEDICAL,B,4000,10.99,0.03,N,3,0
231,23,50000,RENT,0.0,VENTURE,C,8000,13.458465745538284,0.16,N,4,0
232,26,49000,RENT,2.0,VENTURE,D,8400,18.25,0.17,Y,4,1
233,22,79000,MORTGAGE,6.0,VENTURE,C,11000,13.11,0.14,Y,4,0
234,34,73600,MORTGAGE,10.0,HOMEIMPROVEMENT,B,15000,12.42,0.2,N,7,0
235,31,50268,MORTGAGE,4.0,PERSONAL,D,12000,12.61,0.24,N,9,0
236,34,140000,MORTGAGE,17.0,VENTURE,D,12000,15.21,0.09,Y,10,0
237,22,28000,RENT,0.0,MEDICAL,B,1200,12.69,0.04,N,3,0
238,31,34580,RENT,3.0,PERSONAL,B,3000,11.49,0.09,N,6,1
239,26,40610,MORTGAGE,7.0,HOMEIMPROVEMENT,A,3500,7.14,0.09,N,4,0
240,25,36000,RENT,2.0,PERSONAL,B,10000,11.009722222222223,0.28,N,2,0
241,25,87000,MORTGAGE,4.0,VENTURE,B,13000,11.26,0.15,N,4,0
242,26,33600,RENT,4.0,MEDICAL,D,3300,15.65,0.1,N,4,0
243,26,45500,RENT,2.0,EDUCATION,B,9400,9.91,0.21,N,2,0
244,22,63500,MORTGAGE,5.0,EDUCATION,B,7200,11.009722222222223,0.11,N,3,0
245,25,75000,RENT,0.0,EDUCATION,A,18500,7.49,0.25,N,3,0
246,25,118189,MORTGAGE,9.0,VENTURE,B,25000,11.49,0.21,N,3,0
247,27,44004,RENT,1.0,EDUCATION,D,11750,15.31,0.27,Y,8,1
248,22,48000,RENT,6.0,MEDICAL,A,16500,8.9,0.34,N,4,1
249,28,158000,MORTGAGE,6.0,MEDICAL,A,15000,7.9,0.09,N,5,0
250,23,50952,RENT,0.0,EDUCATION,C,4000,11.54,0.08,Y,4,0
251,32,106000,MORTGAGE,3.0,VENTURE,A,10000,7.343586937017764,0.09,N,9,0
252,25,36000,RENT,2.0,PERSONAL,C,4000,13.61,0.11,Y,3,0
253,23,43000,RENT,7.0,EDUCATION,A,1000,7.51,0.02,N,3,0
254,28,45000,RENT,0.0,EDUCATION,A,4000,7.343586937017764,0.09,N,8,0
255,37,68480,RENT,2.0,MEDICAL,C,3600,15.23,0.05,Y,11,0
256,32,62000,RENT,1.0,HOMEIMPROVEMENT,B,8000,9.99,0.13,N,5,0
257,29,71500,MORTGAGE,3.0,DEBTCONSOLIDATION,B,6000,9.63,0.08,N,10,0
258,22,116700,MORTGAGE,0.0,EDUCATION,A,6000,8.49,0.05,N,4,0
259,22,41500,RENT,3.0,VENTURE,D,7000,15.7,0.17,Y,3,1
260,38,34000,RENT,8.0,MEDICAL,D,9500,14.46,0.28,N,15,1
261,24,50000,RENT,0.0,VENTURE,B,7200,11.71,0.14,N,2,0
262,22,63500,MORTGAGE,3.0,EDUCATION,C,7000,13.458465745538284,0.11,N,2,0
263,23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,0.33,N,4,1
264,29,55000,RENT,13.0,DEBTCONSOLIDATION,B,6000,11.009722222222223,0.11,N,9,0
265,25,37000,RENT,2.0,VENTURE,B,3325,11.49,0.09,N,3,0
266,23,59500,MORTGAGE,1.0,MEDICAL,B,20000,11.83,0.29,N,4,1
267,35,36000,MORTGAGE,4.0,EDUCATION,B,16000,10.99,0.44,N,8,1
268,23,92000,MORTGAGE,5.0,EDUCATION,B,2400,12.69,0.03,N,2,0
269,24,145000,RENT,3.0,VENTURE,C,14000,12.84,0.1,Y,4,0
270,25,120000,RENT,6.0,MEDICAL,B,25000,10.74,0.21,N,2,0
271,26,61000,MORTGAGE,3.0,PERSONAL,B,7500,10.25,0.12,N,4,0
272,24,42000,OWN,8.0,HOMEIMPROVEMENT,A,8000,6.62,0.19,N,2,0
273,24,115500,MORTGAGE,8.0,HOMEIMPROVEMENT,A,10000,7.75,0.09,N,4,0
274,23,35000,RENT,5.0,MEDICAL,C,5400,12.84,0.15,N,4,0
275,29,45000,RENT,7.0,MEDICAL,B,10000,11.009722222222223,0.22,N,5,0
276,27,64000,RENT,0.0,MEDICAL,C,12000,13.49,0.19,Y,5,0
277,22,32000,MORTGAGE,3.0,EDUCATION,A,6000,8.49,0.19,N,2,0
278,27,100000,RENT,1.0,DEBTCONSOLIDATION,C,35000,16.11,0.35,N,9,1
279,26,43000,RENT,4.0,EDUCATION,C,10000,14.65,0.23,N,4,0
280,35,99800,MORTGAGE,9.0,PERSONAL,A,8000,7.14,0.08,N,9,0
281,25,70000,RENT,0.0,EDUCATION,B,5000,11.71,0.07,N,3,0
282,33,68736,RENT,8.0,HOMEIMPROVEMENT,D,1200,16.29,0.02,N,9,0
283,34,120000,MORTGAGE,0.0,MEDICAL,A,7100,8.9,0.06,N,8,0
284,22,27120,RENT,5.0,DEBTCONSOLIDATION,C,9250,13.11,0.34,Y,4,1
285,26,100000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7500,8.32,0.07,N,3,0
286,22,50000,RENT,6.0,EDUCATION,C,11000,13.49,0.22,Y,4,0
287,47,86500,MORTGAGE,13.0,MEDICAL,C,24000,13.458465745538284,0.28,N,17,0
288,22,48996,RENT,0.0,PERSONAL,D,8000,14.96,0.16,Y,2,1
289,32,96000,RENT,1.0,PERSONAL,B,5000,11.99,0.05,N,9,0
290,24,63996,MORTGAGE,5.0,VENTURE,B,6000,10.75,0.09,N,3,0
291,24,40000,OWN,6.0,VENTURE,A,1000,6.76,0.03,N,3,0
292,26,90000,OWN,2.0,VENTURE,A,9500,8.07,0.11,N,2,0
293,26,42000,MORTGAGE,4.0,MEDICAL,B,15000,11.26,0.36,N,4,0
294,32,49000,MORTGAGE,3.0,MEDICAL,B,11500,10.99,0.23,N,9,1
295,32,25200,RENT,0.0,PERSONAL,A,5000,7.91,0.2,N,8,0
296,30,55000,OWN,6.0,EDUCATION,D,21250,15.7,0.39,Y,6,0
297,24,72000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,6000,7.49,0.08,N,2,0
298,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0.13,N,3,0
299,22,42000,RENT,0.0,PERSONAL,A,3600,7.37,0.09,N,3,0
300,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0.06,N,2,0
301,29,75000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,4200,10.99,0.06,N,6,0
302,31,20500,MORTGAGE,4.0,DEBTCONSOLIDATION,A,1000,6.76,0.05,N,5,0
303,33,40000,MORTGAGE,12.0,PERSONAL,A,3200,5.42,0.08,N,8,0
304,23,65000,MORTGAGE,7.0,EDUCATION,A,9000,7.88,0.14,N,3,0
305,28,44000,OWN,10.0,PERSONAL,D,7500,14.84,0.17,Y,8,0
306,22,37000,RENT,2.0,HOMEIMPROVEMENT,D,2500,17.49,0.07,N,3,1
307,31,74797,MORTGAGE,1.0,MEDICAL,D,10000,15.58,0.11,Y,6,1
